Date,Method,Name,ISA,Precision,Threads,AI,Gflops,Bandwidth,Time
2024-10-04 16:40:47,DR,ls,,,0,0,0,0.4331,0.004498
2024-10-07 09:27:08,PMU,pluto,,dp,0,0.1051,28.6983,272.9827,14.0945
2024-10-29 10:33:37,DR,stream_c.exe,,,0,0.07637,65.8372,862.1282,0.0922
2024-10-29 10:43:09,DR,stream_c.exe,,,0,0.07723,2.3442,30.3532,2.5893
2024-10-29 11:19:44,PMU,stream_c.exe,,dp,0,0.04115,12.2426,297.4981,1.9867
2024-10-29 11:20:28,PMU,stream_c.exe,,dp,0,0.0414,12.021,290.362,2.0234
2024-10-29 11:21:39,DR,stream_c.exe,,,0,0.04643,11.8338,254.885,2.0399
2024-10-29 11:36:29,DR,stream_c.exe,,,0,0.04982,26.667,535.2976,0.9052
2024-10-30 15:54:41,DR-roi,a.out,,,0,0.04167,0.6215,14.9166,0.4319
2024-10-30 15:55:33,DR-roi,a.out,,,0,0.04167,0.5327,12.7846,0.5039
2024-10-30 16:01:31,DR-roi,a.out,,,0,0.04167,0.4413,10.5909,0.6083
2024-10-30 16:02:55,DR-roi,a.out,,,0,0.04167,0.5337,12.8078,0.503
2024-10-30 16:03:48,DR,a.out,,,0,0.05111,18.7181,366.257,2.1081
2024-10-30 16:05:30,DR-roi,a.out,,,0,0.04167,0.5301,12.7232,0.5064
2024-10-30 16:10:54,DR-roi,a.out,,,0,0.04167,0.5061,12.1476,0.5303
2024-10-30 16:11:33,DR-roi,a.out,,,0,0.04167,0.4117,9.8814,0.652
2024-10-30 16:13:55,DR-roi,a.out,,,0,0.04167,0.4125,9.9012,0.6507
2024-10-30 16:19:06,DR-roi,a.out,,,0,0.04167,14.4431,346.6345,0.6505
2024-10-30 16:22:15,DR-roi,a.out,,,0,0.002375,0.8166,343.7711,0.6575
2024-10-30 16:23:03,DR-roi,a.out,,,0,0.04167,21.6087,518.6132,0.01366
2024-10-30 16:23:32,DR-roi,a.out,,,0,0.08333,43.8664,526.4004,0.01346
2024-10-30 16:24:38,DR-roi,a.out,,,0,0.08297,47.9205,577.572,0.01338
2024-10-30 16:25:08,DR,a.out,,,0,0.05079,20.6144,405.9047,0.06138
2024-11-12 13:05:19,DR,ls,,,0,0,0,0.8331,0.002386
2024-11-12 13:09:21,PMU,ls,,dp,0,0,0,0.04987,0.06506
2024-11-12 13:09:26,DR,ls,,,0,0,0,0.03513,0.0576
2024-11-12 13:12:13,DR,ls,,,0,0,0,0.0351,0.05764
2024-11-12 13:13:04,DR,ls,,,0,0,0,0.3295,0.2898
2024-11-12 13:30:11,DR,ls,,,0,0,0,0.7527,0.1307
2024-11-12 13:31:34,DR,ls,,,0,0,0,0.05575,0.07307
2024-12-11 15:21:55,DR,ls,,,0,0,0,0.7106,0.002792
2025-03-04 09:28:24,DR,ls,,,0,0,0,0.8406,0.002399
2025-06-19 15:59:50,DR,ls,,,0,0,0,0.9442,0.002197
2025-06-24 16:39:21,DR,ls,,,0,0,0,0.8288,0.002438
2025-06-24 16:40:11,DR-roi,stream_c_2.exe,,,0,0.08333,10.333,123.9964,0.2473
2025-06-25 10:05:36,DR,ls,,,0,0,0,0.8514,0.002393
2025-06-25 10:05:45,DR,ls,,,0,0,0,0.8143,0.002502
2025-06-25 18:12:28,DR,ls,,,0,0,0,0.455,0.004479
2025-06-26 14:37:56,DR,ls,,,0,0,0,0.6239,0.003275
2025-06-26 14:38:07,DR-roi,stream_c.exe,,,0,0.08333,24.9993,299.994,0.03825
2025-06-26 14:39:06,DR,Fock,,,0,0.1338,15.7723,117.9117,0.3474
