Name:,grace,L1 Size:,64,L2 Size:,1024,L3 Size:,144,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
06/10/2024 11:35,neon,sp,1,2,1,No,524288,add,155.3778,2.9662,88.9223,1.3682,39.1887,1.3474,29.6251,1201.8402,53.2996,4.0374,106.4278,4.031
06/10/2024 11:46,armscalar,sp,1,2,1,No,524288,add,39.4201,3.0273,36.395,2.7106,38.2442,2.9147,30.6684,2567.4224,13.2929,4.0277,26.4261,4.0036
06/10/2024 11:14,neon,dp,1,2,1,No,524288,add,124.1664,2.9662,98.73,1.3497,39.2262,1.3092,29.0993,1171.3392,26.4261,4.0036,53.2996,4.0374
06/10/2024 11:25,armscalar,dp,1,2,1,No,524288,add,78.4784,3.0043,61.0514,2.3379,41.4185,2.5004,29.4669,2180.4605,13.213,4.0036,26.4261,4.0036
06/10/2024 13:02,neon,sp,2,2,1,No,524288,add,286.4157,5.9659,207.5821,2.5692,81.3249,2.6197,58.2636,1253.2678,105.5333,8.0007,212.8556,8.0686
06/10/2024 13:13,armscalar,sp,2,2,1,No,524288,add,78.6435,6.0016,71.267,5.6653,75.8229,5.5096,60.5458,2754.4239,26.4261,8.017,52.8522,8.017
06/10/2024 12:40,neon,dp,2,2,1,No,524288,add,309.8151,5.9683,199.7493,2.6297,81.6199,2.6767,57.2901,1272.6487,52.8522,8.017,105.5333,8.004
06/10/2024 12:51,armscalar,dp,2,2,1,No,524288,add,156.6853,6.0161,143.235,4.42,83.3826,4.2555,58.1376,2006.6268,26.4261,8.017,52.8522,8.017
06/10/2024 14:30,neon,sp,4,2,1,No,524288,add,618.2553,11.8564,355.0544,5.4178,151.1072,5.408,112.7761,1322.9361,206.3323,16.0101,411.9818,15.9836
06/10/2024 14:42,armscalar,sp,4,2,1,No,524288,add,160.4047,11.99,144.9301,11.1318,147.4246,11.1876,117.6059,2777.495,51.3715,15.9573,103.1661,16.023
06/10/2024 14:08,neon,dp,4,2,1,No,524288,add,632.5489,11.8659,416.2189,5.3481,151.07,5.3373,111.2435,1345.6598,103.4591,16.0685,205.9141,15.9905
06/10/2024 14:19,armscalar,dp,4,2,1,No,524288,add,320.4812,11.9899,281.7712,9.0644,154.242,8.8294,112.5909,2210.7306,51.3128,15.939,103.3049,16.0445
06/10/2024 16:01,neon,sp,8,2,1,No,524288,add,1240.2517,23.7892,681.176,10.7964,270.5118,10.8066,207.3926,1355.8754,419.2904,32.6391,839.9628,32.6929
06/10/2024 16:12,armscalar,sp,8,2,1,No,524288,add,315.3754,24.1288,292.2157,21.7249,270.0507,21.4974,215.8275,2805.6637,105.1706,32.7475,210.3387,32.7471
06/10/2024 15:38,neon,dp,8,2,1,No,524288,add,1265.1577,23.7319,704.4035,10.8443,272.4254,10.6204,206.1317,1321.6361,206.3323,32.046,410.6274,31.8878
06/10/2024 15:50,armscalar,dp,8,2,1,No,524288,add,638.991,24.0378,570.5971,17.68,276.4148,17.465,209.7494,2191.9011,102.743,31.9916,206.3323,32.1234
06/10/2024 17:33,neon,sp,16,2,1,No,524288,add,2530.341,48.2939,1493.2296,22.0243,494.742,21.9407,329.371,1392.0515,837.2014,65.1971,1679.9256,65.4121
06/10/2024 17:44,armscalar,sp,16,2,1,No,524288,add,644.1494,48.0033,603.1636,44.4206,480.8183,44.4674,336.5248,2803.9225,208.6157,63.7582,420.6775,64.2848
06/10/2024 17:09,neon,dp,16,2,1,No,524288,add,2532.2701,48.2746,1746.9264,21.9542,498.9181,21.8139,330.0953,1380.1311,420.6775,65.4942,838.5808,65.2783
06/10/2024 17:21,armscalar,dp,16,2,1,No,524288,add,1284.4973,49.0275,1092.9943,34.9268,488.716,34.6323,334.9854,2188.9008,209.476,65.2256,420.6775,65.4942
06/10/2024 19:09,neon,sp,32,2,1,No,524288,add,5048.9777,110.1205,3090.7732,44.6572,696.9404,48.6402,435.4109,1429.1175,865.1626,131.5317,1716.0546,130.4469
06/10/2024 19:32,armscalar,sp,32,2,1,No,524288,add,1283.0019,98.6652,1209.4439,87.9786,704.8417,93.1159,438.9188,2919.3314,214.5065,130.6613,433.2978,131.9663
06/10/2024 18:41,neon,dp,32,2,1,No,524288,add,5064.5995,95.1141,3442.6941,42.1148,687.1023,42.121,442.2013,1342.055,841.355,128.4118,1677.1617,127.9884
06/10/2024 18:55,armscalar,dp,32,2,1,No,524288,add,2560.9931,97.8581,2292.9713,70.5731,707.1721,70.0692,440.6941,1238.9475,240.4658,74.7248,475.7665,73.9222
06/10/2024 21:39,neon,sp,48,2,1,No,524288,add,7573.5058,143.9721,5262.1748,64.1674,822.0103,64.5066,436.5927,4.4363,2528.2338,195.6221,5056.4676,195.6221
06/10/2024 21:50,armscalar,sp,48,2,1,No,524288,add,1890.4608,144.1906,1830.5933,130.5821,823.6715,130.1244,443.0787,2785.7921,631.0239,192.3834,1262.0325,192.3811
06/10/2024 21:16,neon,dp,48,2,1,No,524288,add,7626.3943,144.7138,5470.6415,124.3013,816.5248,123.9741,439.0044,8.5892,1262.0325,379.3984,2524.065,379.3984
06/10/2024 21:28,armscalar,dp,48,2,1,No,524288,add,3855.0587,144.7244,3552.4881,106.2594,806.9506,105.8891,441.6015,2283.279,631.0239,192.8567,1260.3178,192.5923
06/10/2024 23:11,neon,sp,64,2,1,No,524288,add,10097.9827,190.5397,6315.7707,84.9544,937.2257,85.597,437.2427,4.325,3365.4199,257.2443,6741.9568,257.6692
06/10/2024 23:23,armscalar,sp,64,2,1,No,524288,add,2581.6808,192.1754,2443.7203,175.3728,901.7333,171.5645,437.9655,2760.2225,841.3652,256.406,1682.71,256.4029
06/10/2024 22:48,neon,dp,64,2,1,No,524288,add,10136.9884,189.0942,6933.8782,83.9196,914.8914,81.4724,436.7762,4.3988,1682.71,256.5081,3359.8615,256.0844
06/10/2024 23:00,armscalar,dp,64,2,1,No,524288,add,5142.0823,195.8737,4648.2515,136.1357,913.6964,141.4959,438.0223,9.0651,836.7233,260.221,1680.4237,261.3059
07/10/2024 00:42,neon,sp,72,2,1,No,524288,add,11307.979,213.8314,7918.1626,94.4482,948.6213,94.1129,425.3628,4.4584,3779.8442,288.2132,7559.6654,288.2123
07/10/2024 00:54,armscalar,sp,72,2,1,No,524288,add,2867.1212,217.0817,2777.7337,195.1102,954.8835,195.2806,438.4345,2756.9219,946.5358,289.9949,1893.0487,289.9914
07/10/2024 00:19,neon,dp,72,2,1,No,524288,add,11395.3892,213.1671,8454.7423,95.6315,960.6196,95.1565,431.4826,4.4657,1895.9488,289.6062,3779.8442,288.6856
07/10/2024 00:31,armscalar,dp,72,2,1,No,524288,add,5782.5935,216.6427,5221.2985,156.5623,947.5781,155.4774,437.9017,9.006,946.5358,288.6935,1877.5415,286.3251
07/10/2024 02:17,neon,sp,144,2,1,No,524288,add,22685.5452,430.8697,14162.2901,188.2449,1339.9329,189.3827,830.4117,12.5799,7559.6883,583.5135,15023.5432,579.8149
07/10/2024 02:29,armscalar,sp,144,2,1,No,524288,add,5811.076,437.5292,5557.5615,389.4293,1326.4913,389.8125,891.5665,52.8451,1874.869,578.8659,3786.0974,584.4789
07/10/2024 01:53,neon,dp,144,2,1,No,524288,add,22861.3672,423.377,15282.3956,188.5636,1594.6384,187.2591,839.3886,11.6049,3749.6927,571.5937,7547.2276,575.2402
07/10/2024 02:05,armscalar,dp,144,2,1,No,524288,add,11587.8894,432.7447,10508.4114,313.5096,1570.8566,311.586,864.0552,24.5566,1882.6275,574.9074,3780.9533,577.3044
06/10/2024 12:18,neon,sp,1,2,1,No,524288,div,155.3778,2.9674,88.9223,1.3522,39.1887,1.3416,29.6251,1223.1109,4.4429,0.3367,105.7033,4.0052
06/10/2024 12:29,armscalar,sp,1,2,1,No,524288,div,39.4201,3.0286,36.395,2.938,38.2442,2.8257,30.6684,2651.495,4.4043,1.3351,26.4261,4.0052
06/10/2024 11:57,neon,dp,1,2,1,No,524288,div,124.1664,2.9674,98.73,1.3314,39.2262,1.3591,29.0993,1157.1759,2.2141,0.3356,53.2996,4.0391
06/10/2024 12:08,armscalar,dp,1,2,1,No,524288,div,78.4784,3.0286,61.0514,2.2583,41.4185,2.3028,29.4669,2082.2455,2.2141,0.6712,26.4261,4.0052
06/10/2024 13:46,neon,sp,2,2,1,No,524288,div,286.4157,5.9398,207.5821,2.6629,81.3249,2.6737,58.2636,1282.3243,8.8087,0.6681,212.8556,8.0719
06/10/2024 13:56,armscalar,sp,2,2,1,No,524288,div,78.6435,6.0016,71.267,5.6098,75.8229,5.5999,60.5458,2670.0729,8.8738,2.6921,52.8522,8.017
06/10/2024 13:24,neon,dp,2,2,1,No,524288,div,309.8151,5.9398,199.7493,2.704,81.6199,2.6644,57.2901,1260.6862,4.3988,0.6672,105.5333,8.004
06/10/2024 13:35,armscalar,dp,2,2,1,No,524288,div,156.6853,6.0016,143.235,4.4377,83.3826,4.4173,58.1376,2139.2924,4.4283,1.3434,52.8522,8.017
06/10/2024 15:15,neon,sp,4,2,1,No,524288,div,618.2553,11.8044,355.0544,5.4275,151.1072,5.4632,112.7761,1349.4193,17.1742,1.3332,411.9818,15.99
06/10/2024 15:27,armscalar,sp,4,2,1,No,524288,div,160.4047,11.99,144.9301,11.3191,147.4246,11.1064,117.6059,2750.8443,17.1742,5.3348,103.4591,16.0685
06/10/2024 14:53,neon,dp,4,2,1,No,524288,div,632.5489,11.8659,416.2189,5.4297,151.07,5.4197,111.2435,1342.1181,8.5986,1.3355,205.652,15.9702
06/10/2024 15:04,armscalar,dp,4,2,1,No,524288,div,320.4812,12.0046,281.7712,9.3102,154.242,9.3137,112.5909,2303.3669,8.5986,2.6677,103.1661,16.0036
06/10/2024 16:47,neon,sp,8,2,1,No,524288,div,1240.2517,23.8856,681.176,10.4187,270.5118,10.6122,207.3926,1327.8209,34.1536,2.6181,821.2547,31.4772
06/10/2024 16:58,armscalar,sp,8,2,1,No,524288,div,315.3754,23.9895,292.2157,21.6107,270.0507,21.6014,215.8275,2713.5693,34.2543,10.6574,204.6421,31.8346
06/10/2024 16:24,neon,dp,8,2,1,No,524288,div,1265.1577,24.1972,704.4035,10.8464,272.4254,10.7375,206.1317,1371.1498,17.3847,2.7001,420.6775,32.6682
06/10/2024 16:35,armscalar,dp,8,2,1,No,524288,div,638.991,24.5153,570.5971,18.4534,276.4148,18.2673,209.7494,2310.1151,17.5535,5.4525,210.661,32.7183
06/10/2024 18:18,neon,sp,16,2,1,No,524288,div,2530.341,47.3637,1493.2296,21.718,494.742,21.459,329.371,1359.6203,68.497,5.2315,1674.4028,63.9413
06/10/2024 18:30,armscalar,sp,16,2,1,No,524288,div,644.1494,47.9641,603.1636,44.3843,480.8183,44.431,336.5248,2790.3623,69.1556,21.1184,420.6775,64.2322
06/10/2024 17:55,neon,dp,16,2,1,No,524288,div,2532.2701,48.2939,1746.9264,21.4358,498.9181,21.7317,330.0953,1369.5334,34.4382,5.3638,838.5808,65.3045
06/10/2024 18:07,armscalar,dp,16,2,1,No,524288,div,1284.4973,49.0471,1092.9943,38.2722,488.716,33.5954,334.9854,2177.5422,34.8677,10.8613,417.2314,64.9838
06/10/2024 20:40,neon,sp,32,2,1,No,524288,div,5048.9777,97.3603,3090.7732,44.6736,696.9404,44.3395,435.4109,1403.764,71.3084,10.8701,1721.7148,131.227
06/10/2024 21:03,armscalar,sp,32,2,1,No,524288,div,1283.0019,99.0499,1209.4439,92.7939,704.8417,93.0401,438.9188,2964.3014,71.3084,43.6051,431.1421,131.8217
06/10/2024 19:54,neon,dp,32,2,1,No,524288,div,5064.5995,97.3204,3442.6941,43.9391,687.1023,43.61,442.2013,1428.2241,35.6258,10.857,863.7383,131.6121
06/10/2024 20:17,armscalar,dp,32,2,1,No,524288,div,2560.9931,98.7058,2292.9713,77.1896,707.1721,75.5568,440.6941,2439.7153,35.8021,21.7901,433.2978,131.8579
06/10/2024 22:25,neon,sp,48,2,1,No,524288,div,7573.5058,142.5543,5262.1748,62.5601,822.0103,61.647,436.5927,4.386,208.6162,15.907,5056.4676,192.7779
06/10/2024 22:37,armscalar,sp,48,2,1,No,524288,div,1890.4608,144.1315,1830.5933,123.9473,823.6715,124.3104,443.0787,2620.4855,210.6416,64.193,1260.3178,192.0409
06/10/2024 22:02,neon,dp,48,2,1,No,524288,div,7626.3943,141.7423,5470.6415,61.8474,816.5248,62.1668,439.0044,4.397,103.3147,15.7426,2519.8961,191.9846
06/10/2024 22:14,armscalar,dp,48,2,1,No,524288,div,3855.0587,144.3101,3552.4881,103.4129,806.9506,103.0615,441.6015,2173.9831,103.3147,31.4852,1260.3178,192.0409
06/10/2024 23:57,neon,sp,64,2,1,No,524288,div,10097.9827,189.3268,6315.7707,83.9091,937.2257,83.8597,437.2427,4.4043,275.1264,20.9956,6719.7026,256.3987
07/10/2024 00:08,armscalar,sp,64,2,1,No,524288,div,2581.6808,192.4907,2443.7203,172.6056,901.7333,173.1742,437.9655,2789.218,280.4686,85.6131,1682.71,256.8236
06/10/2024 23:34,neon,dp,64,2,1,No,524288,div,10136.9884,189.9944,6933.8782,84.5966,914.8914,83.8704,436.7762,4.3399,137.7529,20.9987,3359.8615,256.0844
06/10/2024 23:45,armscalar,dp,64,2,1,No,524288,div,5142.0823,192.4923,4648.2515,136.45,913.6964,138.177,438.0223,8.9132,137.7529,41.9974,1682.71,256.5081
07/10/2024 01:28,neon,sp,72,2,1,No,524288,div,11307.979,213.7437,7918.1626,94.4095,948.6213,92.3482,425.3628,4.5011,315.5272,24.0491,7584.7014,289.0482
07/10/2024 01:40,armscalar,sp,72,2,1,No,524288,div,2867.1212,216.5548,2777.7337,195.8731,954.8835,196.4924,438.4345,2761.3553,315.5272,96.1964,1893.0487,288.5716
07/10/2024 01:05,neon,dp,72,2,1,No,524288,div,11395.3892,216.1326,8454.7423,95.523,960.6196,97.6711,431.4826,4.6193,154.5784,23.9403,3792.3507,293.6702
07/10/2024 01:17,armscalar,dp,72,2,1,No,524288,div,5782.5935,216.9037,5221.2985,155.625,947.5781,154.8249,437.9017,9.0392,157.5511,48.2303,1890.4767,289.361
07/10/2024 03:04,neon,sp,144,2,1,No,524288,div,22685.5452,426.7968,14162.2901,189.7081,1339.9329,189.8235,830.4117,12.8057,625.8486,47.8579,15119.3308,578.0782
07/10/2024 03:16,armscalar,sp,144,2,1,No,524288,div,5811.076,437.7062,5557.5615,396.886,1326.4913,397.2766,891.5665,52.0024,624.9866,193.0427,3786.0974,584.7154
07/10/2024 02:40,neon,dp,144,2,1,No,524288,div,22861.3672,428.7582,15282.3956,190.9603,1594.6384,190.88,839.3886,12.0568,312.9243,48.3077,7559.6883,583.5135
07/10/2024 02:52,armscalar,dp,144,2,1,No,524288,div,11587.8894,432.7447,10508.4114,308.2844,1570.8566,309.2104,864.0552,25.1089,312.9243,95.5593,3749.6927,572.5312
